Onderwerpen, Totale oppervlakte, Agrarisch terrein
Regio's, Perioden, ha, ha
Bernheze, 2012, 9041, 6657
Bernheze, 2015, 9041, 6612
Best, 1996, 3575, 1694
Best, 2000, 3497, 1594
Best, 2003, 3497, 1588
Best, 2006, 3512, 1580
Best, 2008, 3512, 1566
Best, 2010, 3512, 1548
Best, 2012, 3510, 1513
Best, 2015, 3510, 1504
Beuningen, 1996, 4717, 3247
Beuningen, 2000, 4717, 3216
Beuningen, 2003, 4717, 3203
Beuningen, 2006, 4717, 3136
Beuningen, 2008, 4717, 3118
Beuningen, 2010, 4717, 3061
Beuningen, 2012, 4709, 3075
Beuningen, 2015, 4709, 3052
Beverwijk, 1996, 2035, 497
Beverwijk, 2000, 2035, 447
Beverwijk, 2003, 2035, 391
Beverwijk, 2006, 2038, 389
Beverwijk, 2008, 2038, 390
Beverwijk, 2010, 2038, 406
Beverwijk, 2012, 2009, 395
Beverwijk, 2015, 2009, 384
het Bildt, 1996, 11651, 8386
het Bildt, 2000, 11651, 8368
het Bildt, 2003, 11651, 8327
het Bildt, 2006, 11651, 8274
het Bildt, 2008, 11651, 8285
het Bildt, 2010, 11651, 8260
het Bildt, 2012, 11648, 8256
het Bildt, 2015, 11648, 8257
De Bilt, 1996, 2703, 591
De Bilt, 2000, 2701, 590
De Bilt, 2003, 6710, 3499
De Bilt, 2006, 6710, 3499
De Bilt, 2008, 6710, 3479
De Bilt, 2010, 6710, 3461
De Bilt, 2012, 6713, 3434
De Bilt, 2015, 6713, 3425
Binnenmaas, 1996, 5491, 4144
Binnenmaas, 2000, 5491, 4086
Binnenmaas, 2003, 5491, 3977
Binnenmaas, 2006, 5491, 3971
Binnenmaas, 2008, 7559, 5469
Binnenmaas, 2010, 7559, 5491
Binnenmaas, 2012, 7557, 5485
Binnenmaas, 2015, 7557, 5401
Bladel, 1996, NaN, NaN
Bladel, 2000, 7571, 4437
Bladel, 2003, 7571, 4395
Bladel, 2006, 7571, 4383
Bladel, 2008, 7571, 4357
Bladel, 2010, 7571, 4347
Bladel, 2012, 7562, 4293
Bladel, 2015, 7562, 4246
Blaricum, 1996, 1558, 400
Blaricum, 2000, 1558, 396
Blaricum, 2003, 1558, 389
Blaricum, 2006, 1558, 399
Blaricum, 2008, 1558, 384
Blaricum, 2010, 1558, 331
Blaricum, 2012, 1556, 329
Blaricum, 2015, 1556, 329
Bloemendaal, 1996, 4329, 420
Bloemendaal, 2000, 4329, 418
Bloemendaal, 2003, 4329, 431
Bloemendaal, 2006, 4329, 434
Bloemendaal, 2008, 4329, 438
Bloemendaal, 2010, 4508, 442
Bloemendaal, 2012, 4521, 433
Bloemendaal, 2015, 4523, 425
Bodegraven-Reeuwijk, 1996, NaN, NaN
Bodegraven-Reeuwijk, 2000, NaN, NaN
Bodegraven-Reeuwijk, 2003, NaN, NaN
Bodegraven-Reeuwijk, 2006, NaN, NaN
Bodegraven-Reeuwijk, 2008, NaN, NaN
Bodegraven-Reeuwijk, 2010, NaN, NaN
Bodegraven-Reeuwijk, 2012, 8864, 6357
Bodegraven-Reeuwijk, 2015, 8864, 6294
Boekel, 1996, 3452, 2982
Boekel, 2000, 3452, 2969
Boekel, 2003, 3452, 2967
Boekel, 2006, 3452, 2958
Boekel, 2008, 3452, 2943
Boekel, 2010, 3452, 2935
Boekel, 2012, 3452, 2922
Boekel, 2015, 3452, 2920
Ten Boer, 1996, 4571, 4150
Ten Boer, 2000, 4571, 4148
Ten Boer, 2003, 4571, 4136
Ten Boer, 2006, 4571, 4111
Ten Boer, 2008, 4571, 4111
Ten Boer, 2010, 4571, 4105
Ten Boer, 2012, 4573, 4109
Ten Boer, 2015, 4573, 4110
Borger-Odoorn, 1996, NaN, NaN
Borger-Odoorn, 2000, 27793, 21710
Borger-Odoorn, 2003, 27792, 21553
Borger-Odoorn, 2006, 27792, 21570
Borger-Odoorn, 2008, 27792, 21583
Borger-Odoorn, 2010, 27792, 21432
Borger-Odoorn, 2012, 27789, 21409
Borger-Odoorn, 2015, 27789, 21283
Borne, 1996, 4171, 3121
Borne, 2000, 4085, 3023
Borne, 2003, 2615, 1767
Borne, 2006, 2615, 1745
Borne, 2008, 2615, 1709
Borne, 2010, 2615, 1679
Borne, 2012, 2616, 1641
Borne, 2015, 2616, 1614
Borsele, 1996, 19451, 12032
Borsele, 2000, 19444, 11913
Borsele, 2003, 19444, 11900
Borsele, 2006, 19442, 11847
Borsele, 2008, 19442, 11834
Borsele, 2010, 19442, 11815
Borsele, 2012, 19452, 11825
Borsele, 2015, 19452, 11667
Boxmeer, 1996, 5892, 4555
Boxmeer, 2000, 11395, 8272
Boxmeer, 2003, 11395, 8213
Boxmeer, 2006, 11395, 8223
Boxmeer, 2008, 11395, 8191
Boxmeer, 2010, 11395, 8177
Boxmeer, 2012, 11384, 8097
Boxmeer, 2015, 11384, 8089
Boxtel, 1996, 6477, 3715
Boxtel, 2000, 6477, 3579
Boxtel, 2003, 6477, 3665
Boxtel, 2006, 6477, 3644
Boxtel, 2008, 6477, 3637
Boxtel, 2010, 6477, 3624
Boxtel, 2012, 6485, 3590
Boxtel, 2015, 6485, 3553
Breda, 1996, 7641, 2954
Breda, 2000, 12915, 6350
Breda, 2003, 12915, 6101
Breda, 2006, 12915, 6024
Breda, 2008, 12915, 5941
Breda, 2010, 12915, 5943
Breda, 2012, 12868, 5810
Breda, 2015, 12868, 5620
Brielle, 1996, 3112, 1962
Brielle, 2000, 3112, 1951
Brielle, 2003, 3112, 1948
Brielle, 2006, 3112, 1941
Brielle, 2008, 3112, 1917
Brielle, 2010, 3112, 1925
Brielle, 2012, 3114, 1889
Brielle, 2015, 3114, 1883
Bronckhorst, 1996, NaN, NaN
Bronckhorst, 2000, NaN, NaN
Bronckhorst, 2003, NaN, NaN
Bronckhorst, 2006, 28641, 22921
Bronckhorst, 2008, 28641, 22914
Bronckhorst, 2010, 28641, 22861
Bronckhorst, 2012, 28642, 22803
Bronckhorst, 2015, 28642, 22758
Brummen, 1996, 8510, 5968
Brummen, 2000, 8510, 5966
Brummen, 2003, 8510, 5963
Brummen, 2006, 8510, 5954
Brummen, 2008, 8510, 5952
Brummen, 2010, 8510, 5915
Brummen, 2012, 8501, 5903
Brummen, 2015, 8501, 5749
Brunssum, 1996, 1729, 233
Brunssum, 2000, 1729, 196
Brunssum, 2003, 1729, 186
Brunssum, 2006, 1729, 186
Brunssum, 2008, 1729, 186
Brunssum, 2010, 1729, 179
Brunssum, 2012, 1734, 182
Brunssum, 2015, 1734, 150
Bunnik, 1996, 3757, 2958
Bunnik, 2000, 3757, 2944
Bunnik, 2003, 3757, 2914
Bunnik, 2006, 3757, 2892
Bunnik, 2008, 3757, 2893
Bunnik, 2010, 3757, 2890
Bunnik, 2012, 3757, 2884
Bunnik, 2015, 3757, 2852
